position	stat	extra
61307	62689	0.283353
61397	62690	0.232968
62280	62703	0.183049
62535	63197	0.191333
62705	63525	0.280274
62829	63587	0.244874
62962	63844	0.630128
63424	64469	0.64997
63994	65582	1.17631
64263	65836	1.53542
64293	65895	1.60092
64494	66284	1.83203
64741	66285	1.33612
64973	66420	1.17392
66908	70229	2.09522
67054	70263	1.84266
67377	70285	1.71855
67945	70308	2.03157
68087	70337	1.33813
68129	70362	0.552184
68324	70363	0.43529
69093	71900	1.69457
69437	72453	3.92808
71344	72459	3.09295
71665	73067	2.84853
71682	73079	3.99034
71712	73116	1.82661
71785	73232	1.41727
71980	73598	1.6025
71994	73624	1.61612
72763	73626	1.37344
73164	73874	0.670471
73200	73941	0.703572
73551	74035	0.423604
73563	74046	0.564211
73585	74054	0.63653
73899	74565	0.971884
74084	74569	0.664433
74105	74586	0.654231
75082	76537	1.0011
75217	76560	1.19893
75266	76590	1.28322
75664	77292	1.48385
75855	77664	1.80473
75930	77805	0.844149
76355	78144	0.36418
77102	79635	0.934595
77164	79742	2.33844
78217	79896	2.42704
78239	79918	1.70506
78291	79991	1.26541
78776	80259	0.909178
78992	80320	0.538366
79068	80331	0.478293
79506	80867	0.884834
80643	81651	1.50459
80739	81735	0.992508
80933	81970	0.496879
81000	82082	0.522415
81081	82171	0.526955
81229	82198	1.05372
81572	82823	1.37313
81794	83256	2.4184
82297	83727	3.54544
82937	84223	3.76732
84126	86517	3.99778
84566	87161	4.1982
84688	87294	4.12686
84755	87339	4.89536
84779	87359	10.4278
85482	88140	6.69248
86245	89234	4.74233
87000	90272	7.41149
88739	93255	3.7927
90096	93674	1.62317
90430	93699	1.02251
90522	93749	1.03289
90551	93762	1.59422
90915	94471	1.10554
91316	94491	0.990466
92199	95164	0.93101
92732	95192	0.371566
94225	95195	0.144687
94447	95220	0.211734
97318	100936	1.80054
97623	101496	1.96393
97924	102085	2.29026
99965	105458	4.1467
100518	106545	4.75116
101312	107459	5.20352
101513	107834	5.40058
101548	107901	8.15246
101720	108219	5.60226
104752	108567	4.19598
105127	108757	6.94021
105451	108816	6.43268
107172	108886	2.71767
107729	108912	1.87714
108397	109335	0.863557
108591	109347	1.4058
108666	109430	0.649771
108855	109490	0.585083
109118	109669	0.468274
109221	109684	1.03378
109280	109744	1.64317
109321	109755	0.861561
110705	112498	1.92635
114079	118823	4.16038
114332	119317	4.60605
114393	119355	4.53431
115259	121028	5.05133
116011	122352	6.33817
116133	122581	4.93485
116265	122786	5.05716
116551	123346	6.97781
118642	124785	7.15618
121832	124841	6.18831
122127	124937	5.96853
122157	124958	4.46048
123106	125184	3.23057
123920	125487	2.29286
124066	125550	1.8371
124178	125570	2.12873
124913	126480	2.6232
126069	127352	2.03746
126145	127449	2.07389
126257	127576	2.62618
126301	127644	2.14432
126564	127943	2.07704
126850	128213	2.1299
126882	128214	2.07322
126907	128243	2.08217
127387	128294	1.79823
127896	128439	0.798587
127990	128531	0.529679
128060	128544	0.465123
128316	128988	0.678089
128815	129686	0.491475
129099	129985	0.488664
129240	130266	0.56205
129494	130744	0.560089
129521	130747	5.46472e-11
129624	130809	0.522981
132262	135992	0.659274
132461	136378	0.764939
132711	136434	0.655023
133232	136777	0.555189
133452	136919	1.04326
133723	137180	1.56536
133964	137184	1.55018
134186	137625	2.56373
134240	137670	3.18079
137664	139335	2.53111
138046	139713	2.52052
139631	142828	2.8891
140215	143652	3.43197
140417	143914	3.60077
140946	144712	3.48922
141181	145178	3.00835
142171	146717	3.66566
142197	146724	2.42226
143031	146727	1.05339
143229	146745	0.951317
144794	146759	0.847197
145208	146764	0.789312
145341	146768	0.716229
145858	147003	0.49751
146099	147019	0.236814
146900	147082	0.0282031
146907	147090	0.0567605
146930	147133	0.111336
146948	147151	0.111336
146962	147165	0.111336
147004	147243	0.152613
147009	147249	0.153747
147361	147719	0.156982
147371	147722	0.306547
148626	150170	0.64457
148830	150569	0.647935
149143	151152	0.941571
150499	153846	1.12838
150885	154604	2.07699
150982	154721	2.10972
151477	155704	2.17346
151719	155718	2.5656
151721	155719	2.56318
153174	156177	1.5917
153657	156744	1.71057
153971	156789	1.27131
155318	156790	0.733099
156195	157786	0.500436
157537	160353	0.730967
158824	161944	0.718783
158833	161947	0.367475
158847	161975	0.582683
159251	162324	0.607337
159549	162353	0.567442
162452	168114	4.77728
162459	168128	6.37898
163490	169194	8.97754
164849	169345	7.88178
165970	169996	8.56066
165973	169998	8.56059
165988	170000	10.6667
166166	170008	10.1836
166540	170727	12.9292
169433	170752	3.17884
169878	171628	3.86926
170413	171631	2.44965
171006	172666	2.58814
171459	172922	1.64479
171764	173529	2.40744
171874	173747	3.80458
171894	173780	3.83295
172263	173799	1.57009
172290	173828	1.65074
179635	187641	2.692
179646	187661	1.48819
180301	187936	0.971796
180599	188275	0.94128
180940	188351	1.00532
181106	188465	0.947906
181221	188662	0.654801
181699	189599	0.587436
181714	189600	1.15888
188627	189612	0.558313
188667	189672	1.13917
188809	189681	1.48236
188995	189714	1.63043
189033	189715	1.54529
189094	189723	1.78181
189202	189742	1.83562
189694	189788	0.321266
190590	191579	3.36382
190611	191609	2.82847
190890	192107	3.44901
190920	192158	2.80621
190951	192187	2.10076
190978	192240	1.43035
190986	192248	2.14502
191001	192259	1.42609
193070	196351	3.71778
193972	196365	4.06661
194000	196390	4.06235
194274	196440	3.68144
194300	196441	3.63888
194356	196524	3.68357
194387	196534	3.64739
194414	196580	3.67931
195442	198624	3.37176
197498	198645	1.06566
197512	198658	0.681661
197539	198688	1.06793
197571	198701	1.04694
197589	198736	1.06623
198047	199569	1.37598
198054	199573	2.31454
198103	199626	1.32075
199130	199636	0.480607
199163	199681	0.494899
202126	205594	3.65378
202634	206580	6.83552
203097	207492	3.54564
203116	207496	6.20361
203560	207551	5.6543
203566	207558	5.65859
203596	207565	3.74321
204178	208719	3.47608
204511	209341	3.47466
207471	209347	0.692914
207976	209371	0.586559
208436	209380	0.545224
208440	209384	0.408822
208495	209438	0.54395
208834	210109	0.646987
208849	210133	0.520236
209544	210368	0.861713
210009	210677	1.25896
210028	210708	0.854177
210294	211216	0.885933
210303	211225	1.18641
210312	211239	0.961743
211071	212704	3.01589
211415	212720	2.06166
211477	212820	2.12414
211852	213335	1.83024
212242	213806	1.76116
212258	213808	1.15963
212523	213830	0.542798
212563	213901	0.559967
212635	214030	0.592588
213387	214070	0.266361
213432	214143	0.282526
213598	214376	0.293869
214226	215117	0.71507
214472	215137	0.688258
214596	215384	1.24025
214721	215612	1.8876
214760	215618	2.2676
215651	217271	2.72748
216184	218298	3.62689
216222	218300	2.61606
216345	218313	2.48414
216718	218318	1.5514
216728	218319	1.52679
216867	218350	1.25308
217300	218987	2.32616
217312	219006	2.01633
218310	219349	1.07162
218898	219497	1.08857
219333	220365	1.37329
221267	224221	1.53052
221606	224894	1.92444
222107	225894	1.98835
222152	225954	2.0297
222490	225992	1.79617
222526	226045	1.54505
223138	226926	1.63582
223259	227020	1.58177
223696	227026	0.897122
225845	227469	0.913141
226758	228622	0.618178
227494	229094	0.626993
228043	230131	0.823986
228290	230587	0.72009
228389	230733	0.802883
229998	233069	1.1983
230057	233093	1.15863
230064	233102	1.16072
230287	233105	1.21958
230991	233360	1.87616
231298	233501	1.5438
231825	233519	1.5195
232056	233525	0.81509
232256	233778	1.56312
233634	234198	1.56632
234560	236026	1.73018
234622	236142	1.04606
234627	236148	1.68472
234826	236291	1.5416
234937	236373	1.4888
234961	236402	1.87815
235001	236477	1.76636
235221	236664	1.34308
235469	236740	0.763124
236391	236755	0.812282
237443	238744	0.939092
237501	238854	1.0564
237597	238902	0.607199
237739	239105	1.35827
238624	240845	1.29491
238695	240913	0.963194
239164	241663	0.740511
239202	241664	0.394066
239230	241704	0.403134
240372	242000	0.242841
241535	244216	0.571906
241576	244250	1.77348
241768	244431	1.55758
242644	244442	0.924264
242857	244800	1.63434
243433	245202	1.76759
243504	245343	2.50708
244228	246751	5.2626
244384	246767	3.85217
245509	246802	1.64403
245540	246830	1.64031
245643	246855	1.52716
246120	247797	3.36937
246299	247798	3.6451
246515	247827	2.20518
246627	247911	2.14916
248143	249535	2.03059
248936	251105	2.2351
249607	252411	2.95457
249623	252415	2.94174
249662	252469	1.47891
250176	252555	1.34753
250826	253854	3.21078
250855	253882	1.60494
250900	253889	1.58295
251748	253961	1.14312
252537	253968	1.39936
253288	254164	0.763162
253313	254211	0.787554
253692	254915	0.950664
253736	254916	0.902552
254413	254971	0.418237
254432	254981	0.204044
254441	254992	0.205178
254493	255025	0.389409
255038	256107	1.45198
255210	256256	0.607303
255284	256357	0.62691
255643	256370	0.555116
255648	256379	0.897259
255709	256447	0.905559
255785	256588	1.48322
255813	256633	0.943151
255839	256652	1.94774
256471	256834	0.600601
256671	257086	0.154219
257513	258669	0.429654
257523	258675	0.212217
257530	258681	0.869605
257571	258694	0.848788
257667	258746	0.68678
257691	258748	0.673049
258646	260639	2.04039
258908	260981	2.12991
259395	261704	3.57487
260191	261713	2.23654
260688	262700	3.45442
265721	272761	13.0639
265832	272970	9.98072
265896	273045	12.5008
265943	273138	15.1032
266899	273158	23.7026
267096	273210	19.2873
267462	273219	16.1685
267494	273274	12.9841
267997	273293	11.8886
273043	273324	0.524865
273550	274129	0.928256
273636	274227	0.71559
273871	274604	0.956687
274209	275259	0.849274
274506	275802	0.563927
275063	276907	0.874076
275910	278546	0.846652
276302	279311	0.91415
276319	279313	1.42049
276731	279332	2.58763
276780	279333	3.79762
276988	279371	3.51026
277321	279382	2.12442
277788	279774	1.9775
278367	279826	1.38025
279189	279832	0.456241
279578	279845	0.240894
279586	279859	0.2477
279606	279879	0.372313
279619	279905	0.393406
279646	279921	0.249969
279655	279927	0.247133
279859	279943	0.0957399
280966	282106	1.29157
281018	282203	1.34308
281554	283262	1.93552
281639	283419	2.0164
281650	283420	2.00647
281673	283441	1.00196
281709	283497	1.01331e-10
282136	284344	1.25102e-10
282160	284377	1.25599e-10
286914	291722	2.72415e-10
287002	291801	2.71919e-10
287533	291804	2.41974e-10
287614	291809	2.37645e-10
287681	291941	2.41406
287694	291946	5.41969
287724	291950	8.07736
288303	292262	7.56743
288338	292299	7.56983
292710	293698	1.43271
292755	293709	2.43192
295688	299571	12.2008
295909	300008	12.8873
296019	300096	15.3801
297114	302281	9.26838
297117	302283	7.23813
297312	302361	5.30362
297605	302911	5.38544
298307	302916	8.36269
298317	302924	3.17109
301293	303015	1.96436
301839	303670	0.860918
301912	303727	0.849666
303494	304707	1.97191e-11
303545	304806	2.02706e-11
303601	304841	1.90562e-11
303954	304996	1.55436e-11
304107	305297	2.38133e-11
304150	305375	2.58229e-11
304472	305929	3.42563e-11
304898	306125	3.82248e-11
304944	306160	3.77465e-11
305435	306163	0.339107
305503	306200	0.64306
305556	306270	0.994141
305634	306271	0.936298
305836	306374	0.771408
305876	306377	0.79625
306409	306888	0.591857
306517	306909	0.424775
306548	306935	0.555022
306550	306936	0.314295
307051	307901	1.19766
307090	307910	0.759817
307111	307950	0.392407
307163	307951	0.399844
307173	307969	0.364646
307438	307988	0.359656
307473	308037	0.369825
307487	308038	0.360746
307492	308048	0.639869
307987	308073	0.182636
308168	308425	0.492206
308288	308625	0.742071
308301	308651	0.967271
308348	308727	0.720321
308429	308869	1.33518
308457	308877	1.04713
308486	308934	1.13648
308939	309829	2.18819
308981	309888	1.5944
309161	309896	0.770925
309266	309907	0.876824
309299	309947	1.11176
309356	309984	0.802995
309428	309987	0.853608
309438	309999	0.635287
309574	310214	0.747185
310034	310239	0.290363
310073	310257	0.326638
310093	310290	0.418615
310099	310291	0.611897
310133	310318	0.472846
310307	310630	0.822138
310413	310839	1.12357
310428	310857	1.00582
310542	310869	0.574704
310585	310930	0.763599
310600	310942	1.01411
310699	311107	0.805164
310752	311213	0.777983
310767	311215	0.932742
310962	311293	0.280615
311070	311300	0.484583
313406	315954	6.94365
313740	316611	6.36213
314467	318003	7.94441
314539	318135	5.39782
314713	318318	3.68991
314795	318376	3.66165
314983	318750	5.80815
315025	318757	3.85759
315032	318764	3.85759
317796	319637	1.00857
318137	319662	0.832576
318838	319673	0.468277
318979	319823	0.473386
319092	319865	0.438249
319138	319900	0.431438
319520	320289	0.337458
319723	320689	4.48781e-11
319743	320722	4.56099e-11
320325	321012	2.90992e-11
320440	321218	3.42281e-11
320488	321303	3.63218e-11
320586	321348	3.33487e-11
320696	321527	0.372296
322881	325862	3.05708
323090	325891	3.04837
323394	326099	2.9269
323569	326416	5.52361
323775	326538	3.33378
323881	326543	3.19182
323924	326544	3.13164
323947	326545	3.25516
324043	326558	6.96044
327028	328193	2.0389
327057	328223	1.83597
327191	328283	0.964096
327360	328304	1.17152
327422	328305	0.806497
327436	328329	1.31434
328012	329479	3.21809
328018	329490	2.87187
328609	330659	4.18032
329469	330745	4.06734
329509	330795	2.7987
329600	330917	2.8641
329916	331528	3.28864
329930	331554	2.76298
329958	331587	4.87266
330558	331637	2.77204
330596	331702	1.82293
331208	331756	0.974879
331810	332874	2.44629
331890	332985	3.38125
332024	333130	3.30619
332894	334260	3.50828
332982	334409	3.68217
332999	334410	4.36375
333033	334428	5.02488
333066	334429	4.20182
333235	334714	4.59364
334311	335748	3.70719
334391	335797	3.6218
334474	335817	2.71846
335191	336121	2.02449
335296	336183	1.92993
335327	336243	1.99397
335371	336313	1.70872
335417	336404	2.23748
335563	336411	1.92246
336630	337512	1.49599
336719	337640	2.05621
336869	337920	1.50451
337145	338169	1.42559
337177	338170	2.42803
337207	338171	2.94166
337247	338180	4.04608
337380	338355	2.22378
337388	338364	1.14488
337972	338431	0.999677
338058	338475	1.08378
338579	339237	2.11981
338704	339239	1.18267
339094	340018	1.7222
340353	342534	1.69729
340364	342548	2.65769
340475	342594	2.5108
340489	342614	3.15282
340534	342636	3.08902
340562	342649	3.65311
343202	347167	2.85958
343221	347203	2.90722
343951	347883	2.76748
345225	347916	1.65156
345233	347917	1.30584
345297	348000	0.99794
345364	348114	0.719977
345380	348123	0.712349
349002	355355	0.729515
351351	355534	0.329396
351770	356336	0.681402
352248	356612	0.452603
352271	356625	0.661753
352322	356727	0.747483
352523	357045	1.28015
352900	357685	2.04426
352925	357727	2.09675
356593	357830	0.99728
356744	357954	0.958189
357443	358549	1.00881
357583	358553	1.42685
357596	358567	1.42813
357697	358667	0.950162
357905	358764	0.762378
358255	358824	0.391093
358276	358825	0.18395
358340	358849	0.206814
358433	358912	0.264472
358858	359167	0.31536
359062	359570	0.517634
359323	360078	1.22843
359651	360635	1.5894
359781	360797	1.63453
360033	361241	1.96075
360711	362596	3.94281
360767	362684	4.00857
362041	365170	3.56025
363885	368603	2.86102
364087	368604	2.97925
364362	368646	3.17946
365382	370129	1.92591
368065	375333	2.33099
368290	375339	1.01494
368971	375346	0.808357
369017	375350	1.69547e-10
370271	375372	1.44221e-10
371990	375376	1.02853
371992	375380	1.73696
372016	375386	1.52379
372759	375388	0.723669
375367	375401	0.0385259
375385	375431	0.0521199
375395	375443	0.0549437
375397	375444	0.0798426
375522	375672	0.254934
375527	375678	0.256637
375542	375704	0.183477
380023	384660	0.146429
380440	385492	0.538153
383873	392344	0.672389
383916	392401	1.02267
384174	392904	1.43973
384257	393069	1.57915
385484	395296	2.81683
385517	395356	2.86249
385782	395860	3.26859
390284	395908	3.14102
390781	396069	2.90817
394524	396703	2.77364
394575	396748	3.69521
394992	397079	2.6257
395431	397792	3.73364
396550	397804	2.29881
396585	397813	1.78131
396844	397828	1.53451
396879	397850	1.49784
397172	398274	1.08407
397593	398483	1.41265
398240	399732	2.76066
398434	399789	3.77175
398849	399905	3.26546
398872	399940	3.72501
399040	400267	2.33474
399062	400296	2.35252
399213	400575	2.29711
400123	401972	4.3233
400260	402037	4.53034
400888	402043	2.74454
400967	402145	2.40204
402070	404235	7.99932
402162	404383	3.06587
402450	404632	3.11607
402625	404953	5.90835
403033	405491	6.23571
403745	405517	5.01971
403799	405561	2.87419
404192	406340	2.97928
404286	406426	2.9669
405334	406432	1.42546
405437	406490	2.61123
405565	406497	2.17947
405729	406504	2.60259
406022	406552	0.745306
406038	406558	0.364941
406068	406574	0.944805
406477	406613	0.608956
406530	406633	0.395818
406794	407155	0.966199
406833	407176	0.663425
406870	407243	0.748244
407160	407816	0.934044
407192	407831	0.89662
407222	407886	0.713839
407233	407891	0.704486
407273	407932	0.706186
407283	407933	0.690164
407832	408509	0.920996
407848	408519	0.607902
408341	409438	1.63531
408651	409485	1.41789
408682	409532	1.44491
408713	409540	1.40512
408739	409587	1.90548
408775	409617	1.88081
408837	409741	2.44769
409314	410119	2.16706
409555	410590	2.76184
410278	411117	2.97964
410438	411390	2.84283
413286	417039	0.802606
413722	417904	1.99015
414457	419327	2.24667
414987	420356	4.5276
415072	420402	4.50577
415271	420423	3.70143
415516	420442	4.47131
415809	420501	3.94094
416063	420735	2.92233
418898	420756	2.74431
419772	421640	2.73135
420498	421668	1.54878
421015	421673	1.02278
421039	421675	0.657173
421079	421735	1.01872
421231	422019	0.829294
421389	422277	0.471114
421735	422735	1.06895
421756	422755	1.06838
422237	422834	0.676295
422306	422943	0.693217
422334	422995	0.958472
422368	423061	1.25639
422447	423159	1.54923
422649	423279	2.4095
422784	423291	1.93909
423160	423585	1.89558
423180	423604	1.07711
423230	423626	1.00496
423305	423666	1.61234
423840	424685	3.23198
423876	424691	2.59727
423930	424700	2.18273
424008	424737	2.06494
424067	424842	2.19692
424370	425155	2.22353
424410	425216	1.82625
426971	430316	5.68389
426999	430332	5.66261
427514	430343	6.41104
427519	430347	6.4082
427551	430402	6.45929
429003	433268	7.24797
429085	433328	7.20966
429251	433347	6.95856
429286	433355	6.91387
431969	433622	2.80896
432063	433794	3.92212
432241	434138	5.37522
432269	434191	3.48556
432313	434224	4.15853
433753	434238	1.05517
433784	434239	0.991126
433851	434354	1.0955
433921	434486	1.23039
434065	434507	0.962785
434177	434560	0.971906
434528	434917	0.847512
434572	434952	0.905506
434624	435024	1.27489
434890	435542	1.66215
434905	435570	0.965011
434966	435577	0.886727
435047	435608	1.43003
435074	435641	1.44281
435118	435676	0.986127
435298	435679	0.688942
435323	435694	0.670777
435360	435695	0.758037
435630	435717	0.245047
435666	435761	0.267717
435711	435845	0.376813
435747	435886	0.30032
435793	435944	0.274757
435841	436005	0.298146
435848	436016	0.244295
435946	436197	0.427302
435986	436276	0.493483
436009	436301	0.496037
436040	436319	0.474118
436095	436345	0.424749
436124	436361	0.403469
436173	436401	0.388147
436230	436454	0.381338
436237	436457	0.374528
436329	436461	0.224291
