position	stat
9043	2.744e+00
9070	2.908e+00
9138	3.078e+00
9143	3.431e+00
9185	3.306e+00
9233	1.632e+00
9338	8.310e-01
9365	8.970e-01
9388	1.892e+00
9450	1.896e+00
9475	1.392e+00
9493	1.695e+00
9500	8.442e-01
9533	6.801e-01
9565	5.980e-01
9575	3.752e-01
9608	3.321e-01
9623	4.008e-01
9650	2.284e-01
9670	1.344e-01
9678	4.519e-02
9685	2.176e-12
9710	1.202e-11
9763	1.511e-01
9775	6.449e-01
9830	1.466e+00
9915	2.535e+00
9953	2.690e+00
9975	2.253e+00
10088	3.490e+00
10115	4.910e+00
10140	4.763e+00
10173	3.488e+00
10190	4.324e+00
10245	3.884e+00
10383	3.847e+00
10418	2.721e+00
10520	3.737e+00
10640	2.583e+00
10673	2.087e+00
10695	1.618e+00
10728	2.359e+00
10738	9.021e-01
10763	9.021e-01
10870	8.904e-01
10885	3.869e-01
10990	6.192e-01
10998	5.835e-01
11015	1.237e+00
11045	5.716e-01
11100	5.478e-01
11130	5.540e-01
11145	5.144e-01
11210	1.580e+00
11215	7.935e-01
11278	1.226e+00
11308	5.153e-01
11353	1.992e-01
11385	2.620e-01
11430	1.969e-01
11460	3.481e-01
11463	3.435e-01
11533	3.802e-01
11543	5.180e-01
11608	3.950e-01
11638	3.394e-01
11688	2.798e-01
11768	8.931e-01
11803	4.328e-01
11835	9.490e-01
11905	1.009e+00
11953	1.168e+00
11965	1.127e+00
11985	1.377e+00
12005	5.153e-01
12018	4.983e-01
12088	1.616e+00
12115	1.704e+00
12230	2.565e+00
12310	1.237e+00
12333	4.603e-01
12340	1.993e-01
12358	8.592e-01
12405	8.977e-01
12475	1.257e+00
12488	2.999e+00
12503	2.556e+00
12590	2.473e+00
12638	2.927e+00
12743	4.998e+00
12755	2.873e+00
12763	2.785e+00
12793	4.380e+00
12875	3.195e+00
12885	3.550e+00
12913	2.927e+00
12940	4.122e+00
12990	1.642e+00
13090	9.849e-01
13100	1.026e+00
13130	1.334e+00
13153	1.419e+00
13210	8.574e-01
13228	1.443e+00
13255	6.529e-01
13288	1.038e+00
13303	1.134e+00
13350	7.951e-01
13373	1.327e+00
13418	7.214e-01
13458	3.751e-01
13505	2.739e-01
13535	3.166e-01
13538	2.798e-01
13560	2.977e-01
13570	4.644e-01
13633	1.168e+00
13748	2.374e+00
13775	3.298e+00
13840	2.111e+00
13865	1.616e+00
13933	2.603e+00
13970	4.617e+00
14058	5.460e+00
14085	6.348e+00
14155	5.789e+00
14280	2.539e+00
14305	1.693e+00
14363	7.849e-01
14398	2.212e+00
14465	2.725e+00
14528	1.999e+00
14635	2.253e+00
14655	1.102e+00
14750	1.429e+00
14803	2.777e+00
14880	3.142e+00
14930	4.155e+00
14948	7.574e+00
15025	5.476e+00
15070	5.386e+00
15110	3.799e+00
15153	2.473e+00
15215	3.398e+00
15258	6.412e+00
15360	3.157e+00
15410	4.386e+00
15438	5.557e-01
15540	1.924e-01
15563	2.821e-01
15588	7.603e-01
15650	2.373e+00
15708	1.876e+00
15738	7.471e-01
15843	3.401e-01
15870	2.405e+00
15893	2.334e+00
15935	8.812e-01
15960	1.174e+00
16043	3.401e+00
16065	5.267e+00
16115	1.688e+00
16140	9.761e-01
16223	2.185e+00
16305	2.288e+00
16335	1.477e+00
16360	1.231e+00
16383	5.977e-01
16468	2.341e-01
16478	2.407e-01
16515	3.023e-01
16550	6.183e-01
16570	9.847e-01
16675	4.338e-01
16730	4.617e-01
16783	4.388e-11
16785	4.448e-11
16813	4.028e-01
16838	4.683e-01
16885	7.695e-01
16930	1.278e+00
17008	1.834e+00
17060	9.160e-01
17095	1.301e+00
17138	1.896e+00
17140	1.869e+00
17170	3.133e+00
17215	3.908e+00
17228	1.763e+00
17265	8.574e-01
17350	2.198e-01
17370	2.015e-01
17395	1.194e+00
17478	6.137e-01
17488	1.707e+00
17525	7.557e-01
17555	6.669e-01
17560	2.992e+00
17628	5.015e-01
17658	5.153e-01
17683	5.565e-01
17703	1.763e-01
17815	2.076e+00
17838	7.111e-01
17853	1.489e+00
17873	2.168e+00
17880	1.924e+00
18015	1.095e+00
18060	4.924e-01
18100	4.431e-01
18115	4.366e-01
18200	4.267e-01
18233	4.416e-01
18273	1.061e+00
18293	5.776e-01
18305	1.257e+00
18433	1.090e+00
18465	9.747e-01
18485	1.557e+00
18505	1.308e+00
18548	1.165e+00
18578	1.279e+00
18663	1.942e-01
18675	3.206e-01
18685	1.237e-01
18740	5.802e-01
18775	1.649e+00
18778	7.182e-01
18808	7.282e-01
18818	1.889e-01
18840	3.847e-01
18940	1.550e-11
19000	2.260e-11
19005	1.695e-11
19025	5.221e-11
19060	4.702e-11
19073	1.053e-10
19128	1.145e-10
19140	4.448e-11
19213	6.247e-01
19288	9.893e-01
19413	1.216e+00
19480	3.099e+00
19498	3.019e+00
19510	2.785e+00
19520	1.260e+00
19560	5.835e-01
19573	1.700e+00
19703	3.774e+00
19748	2.516e+00
19850	1.731e+00
19920	1.237e+00
19940	7.817e-01
19960	7.557e-01
19975	8.794e-01
19990	9.038e-01
20000	7.420e-01
20078	1.435e-01
20103	2.322e-01
20200	1.496e+00
20205	1.237e+00
20258	8.656e-01
20285	9.527e-01
20305	8.244e-01
20335	1.759e+00
20370	2.089e+00
20398	2.597e+00
20408	4.752e+00
20490	1.443e+00
20498	2.116e+00
20545	7.740e-01
20588	1.632e+00
20595	1.282e+00
20620	2.061e+00
20670	2.267e+00
20698	1.143e+00
20710	1.088e+00
20725	9.733e-01
20785	7.740e-01
20820	5.313e-01
20870	5.002e-01
20905	8.305e-01
20918	1.106e+00
20963	1.170e+00
20990	5.359e-01
21013	3.168e-01
21038	2.779e-01
21095	4.947e-01
21138	4.740e-01
21160	1.546e+00
21205	5.240e-01
21220	1.143e+00
21250	1.077e+00
21270	8.721e-01
21310	2.061e+00
21350	1.090e+00
21365	9.234e-01
21385	3.957e-01
21400	4.749e-01
21435	1.374e+00
21455	1.154e+00
21488	1.618e+00
21508	8.382e-01
21545	2.656e-01
21588	5.239e-01
21625	5.840e-01
21683	8.968e-01
21740	1.031e+00
21820	2.193e+00
21850	2.231e+00
21915	2.432e+00
21955	3.243e+00
22030	3.737e+00
22068	3.600e+00
22128	3.119e+00
22200	4.864e+00
22300	7.572e+00
22363	6.290e+00
22415	6.718e+00
22455	3.292e+00
22500	3.006e+00
22563	4.114e+00
22628	2.045e+00
22678	1.913e+00
22735	2.345e+00
22798	7.729e-01
22810	4.873e-11
22868	4.162e-11
22883	7.523e-11
22938	7.729e-11
22940	9.038e-11
23015	3.976e-01
23060	9.673e-02
23225	3.435e-01
23235	1.145e-01
23290	7.792e-01
23328	7.246e-01
23363	6.813e-01
23413	1.405e+00
23418	1.500e+00
23453	2.484e+00
23490	7.282e-01
23625	8.244e-01
23643	1.683e+00
23693	8.115e-01
23718	8.666e-01
23765	9.618e-01
23785	9.733e-01
23798	5.210e-01
23810	7.695e-01
23830	2.968e-01
23843	4.749e-01
23873	5.100e-01
23885	5.628e-01
23913	2.308e-01
23963	2.542e-01
23988	5.382e-02
24018	6.473e-12
24040	7.099e-02
24063	7.214e-02
24078	7.672e-02
24110	2.267e-01
24128	2.183e-01
24178	4.227e-01
24220	7.557e-01
24260	4.089e-01
24295	6.801e-01
24318	8.977e-01
24370	5.496e-01
24385	5.130e-01
24425	5.496e-01
24458	6.905e-01
24510	7.572e-01
24528	3.481e-11
24550	3.298e-11
24578	1.679e-11
24598	1.443e-11
24648	3.114e-01
24675	1.466e+00
24730	1.514e+00
24773	1.441e+00
24850	2.288e+00
24858	2.319e+00
24883	1.520e+00
24903	6.698e-01
24935	1.319e+00
24980	1.502e+00
25013	7.729e-01
25048	3.721e-01
25080	3.847e-01
25153	6.279e-01
25170	3.053e-11
25200	1.099e-11
25245	1.656e-11
25268	1.397e-11
25340	1.183e-11
25360	1.221e-01
25368	1.202e-01
25388	1.576e-01
25445	4.008e-01
25495	9.771e-01
25510	9.282e-01
25550	1.603e+00
25563	1.740e+00
25603	6.565e-01
25625	9.234e-01
25630	2.565e-01
25635	1.527e-01
25758	3.149e-01
25800	6.252e-01
25803	3.338e-01
25818	4.784e-01
25910	1.002e+00
25915	7.042e-01
25930	2.748e-01
25940	1.252e+00
26000	2.832e+00
26080	1.695e+00
26093	8.588e-01
26103	2.605e-01
26128	5.290e-01
26220	5.386e-01
26223	5.634e-01
26240	5.038e-01
26258	5.276e-01
26353	4.104e-01
26363	7.502e-01
26370	9.893e-01
26420	1.319e+00
26430	6.550e-01
26435	1.344e+00
26493	7.672e-01
26528	8.130e-01
26548	1.829e+00
26615	1.683e+00
26635	3.740e+00
26645	2.542e+00
26703	8.336e-01
26705	8.464e-01
26710	7.557e-01
26790	3.334e-01
26825	6.595e-01
26835	8.464e-01
26885	7.658e-01
26910	7.214e-01
26950	4.749e-01
26983	9.041e-01
26990	9.234e-01
26998	2.394e+00
27055	2.226e+00
27095	1.649e+00
27120	1.282e+00
27143	5.954e-01
27170	5.863e-01
27200	4.763e-01
27278	6.504e-01
27283	6.321e-01
27293	1.264e+00
27348	3.693e-01
27383	3.224e-01
27428	6.797e-01
27440	1.187e+00
27473	9.790e-01
27485	1.065e+00
27558	3.662e-01
27575	5.716e-01
27595	2.540e+00
27628	9.426e-01
27655	1.039e+00
27675	9.481e-01
27690	3.160e-01
27713	5.716e-02
27730	1.072e-01
27743	3.779e-01
27770	3.607e-01
27788	1.431e-01
27813	7.443e-02
27838	2.176e-02
27890	2.290e-02
27900	4.351e-02
27905	2.611e-01
27953	3.641e-01
28008	9.362e-01
28020	1.870e+00
28045	1.715e+00
28063	5.153e+00
28078	5.290e+00
28133	1.392e+00
28143	5.405e-01
28160	7.817e-01
28223	2.015e+00
28293	1.526e+00
28295	4.275e-01
28325	3.893e-01
28360	2.015e-01
28373	1.252e+00
28398	5.611e-01
28438	1.419e+00
28453	1.618e+00
28478	1.211e+00
28533	1.637e+00
28535	1.667e+00
28550	2.244e+00
28590	1.173e+00
28600	1.240e+00
28635	9.481e-01
28670	8.435e-01
28695	1.511e+00
28700	1.026e+00
28745	7.328e-01
28750	8.931e-01
28805	1.422e+00
28818	1.231e+00
28840	2.809e+00
28860	1.612e+00
28870	1.685e+00
28902	1.172e+00
28910	1.077e+00
28953	2.589e+00
28963	1.847e+00
29013	4.406e-01
29075	1.082e+00
29090	9.739e-01
29108	1.108e+00
29150	2.418e+00
29158	1.212e+00
29185	2.102e+00
29260	2.164e+00
29285	1.356e+00
29328	8.153e-01
29413	4.397e-01
29445	1.612e+00
29458	9.966e-01
29505	8.702e-01
29525	5.643e-01
29553	5.066e-01
29628	9.875e-01
29648	4.683e-01
29690	7.695e-01
29738	1.679e+00
29793	7.008e-01
29795	3.435e-01
29818	1.683e-01
29858	3.366e-01
29875	6.679e-01
29973	6.985e-01
29998	2.054e-11
30020	2.611e-11
30058	4.388e-11
30083	4.466e-11
30133	5.840e-11
30155	2.836e-11
30175	2.572e-11
30193	4.937e-11
30275	3.847e-11
30325	3.976e-01
30360	3.435e-01
30418	8.130e-01
30433	4.466e-01
30503	6.233e-01
30555	7.321e-01
30565	1.500e+00
30630	1.683e+00
30658	1.677e+00
30695	1.654e+00
30780	1.583e+00
30843	1.330e+00
30870	1.145e-01
30908	5.668e-02
30953	4.866e-02
30993	6.034e-01
31088	1.142e+00
31100	1.616e+00
31145	2.906e+00
31235	2.288e+00
31263	2.370e+00
31303	2.257e+00
31335	1.847e+00
31458	1.543e+00
31520	3.027e+00
31565	7.080e+00
31570	3.176e+00
31618	7.614e-01
31663	1.200e+00
31688	1.966e+00
31730	5.985e+00
31760	2.793e+00
31943	1.411e+00
31990	1.683e+00
32043	5.191e-01
32048	2.656e-01
32063	1.115e+00
32090	2.711e+00
32133	2.381e+00
32175	3.298e+00
32205	1.539e+00
32323	1.511e+00
32365	9.527e-01
32425	1.744e+00
32433	3.836e+00
32438	2.148e+00
32448	3.371e+00
32490	3.023e+00
32518	2.611e+00
32565	1.642e+00
32620	1.290e+00
32650	9.966e-01
32750	1.775e+00
32768	1.918e+00
32770	1.548e+00
32783	1.524e+00
32820	1.935e+00
32878	2.040e+00
32928	1.899e+00
32945	1.654e+00
32950	8.863e-01
33060	6.389e-01
33088	7.823e-01
33118	4.347e-01
33123	9.756e-01
33188	1.113e+00
33283	2.576e-01
33308	4.878e-01
33335	9.351e-01
33338	4.740e-01
33403	2.147e-11
33435	2.322e-01
33470	1.557e-01
33495	4.466e-01
33545	3.727e-01
33593	2.525e-01
33600	2.370e-01
33618	2.585e-01
33630	1.374e-01
33685	8.702e-02
33708	7.099e-02
33758	1.076e-01
33825	3.215e-01
33915	7.681e-01
33925	1.616e+00
33945	2.844e+00
33958	4.260e+00
33978	2.334e+00
34008	6.669e-01
34028	7.108e-01
34093	1.494e+00
34158	4.221e+00
34248	1.076e+00
34255	8.794e-01
34300	3.053e-01
34313	2.244e-01
34330	1.221e-01
34348	2.748e-01
34405	4.205e-01
34438	1.557e-01
34463	9.847e-02
34510	6.641e-02
34558	2.452e-01
34620	2.679e-01
34645	1.231e-01
34678	1.141e+00
34710	6.011e-01
34800	6.986e-01
34823	1.238e+00
34893	2.482e+00
34940	1.128e+00
35005	2.719e+00
35063	2.539e+00
35093	4.351e+00
35165	4.855e+00
35203	1.706e+00
35315	1.794e+00
35328	3.401e+00
35408	2.057e+00
35435	2.244e+00
35503	6.389e-01
35533	2.446e-01
35563	9.584e-01
35680	3.257e+00
35690	2.543e+00
35778	1.996e+00
35793	2.092e+00
35813	2.206e+00
35875	5.618e+00
35928	3.968e+00
35960	2.003e+00
35990	1.206e+00
36063	6.473e-01
36085	1.145e-01
36118	3.237e-01
36158	4.053e-01
36203	9.756e-01
36265	6.595e-01
36275	3.550e-01
36310	2.361e-01
36320	2.061e-11
36343	6.080e-01
36368	1.554e+00
36595	1.580e+00
36643	1.340e+00
36695	1.539e+00
36723	1.363e+00
36753	1.513e+00
36768	2.863e+00
36835	1.949e+00
36903	1.935e+00
36918	9.790e-01
37148	5.322e-11
37195	5.908e-11
37213	5.936e-11
37220	7.328e-11
37258	4.458e-11
37323	4.813e-11
37443	5.210e-11
37503	7.634e-12
37548	3.244e-11
37563	3.379e-11
37608	3.216e-11
37658	5.553e-11
37663	4.813e-11
37695	3.114e-11
37760	9.527e-12
37823	7.450e-12
37838	3.378e-12
37883	4.208e-12
37928	1.443e-12
37988	8.916e-12
38060	7.328e-02
38118	4.866e-02
38160	9.618e-02
38168	2.920e-01
38188	6.229e-01
38203	5.579e-01
38213	5.322e-01
38273	4.397e-01
38318	3.783e-01
38345	1.718e-01
38473	1.958e-11
38523	2.095e-11
38535	9.087e-02
38565	4.232e-01
38575	4.260e-01
38578	4.809e-01
